Date,Region,Product,Category,Sales,Profit,Units
1/3/2025,North,Smartphone,Electronics,25000,4200,35
1/5/2025,South,Laptop,Electronics,18000,3100,10
1/7/2025,East,Tablet,Electronics,12000,1900,15
1/9/2025,West,Headphones,Accessories,5000,800,40
1/12/2025,North,Keyboard,Accessories,4000,600,25
1/15/2025,South,Monitor,Electronics,15000,2700,12
1/18/2025,East,Mouse,Accessories,2500,400,30
1/22/2025,West,Charger,Accessories,2000,300,45
1/25/2025,North,Smartwatch,Electronics,10000,1600,20
1/30/2025,South,Laptop,Electronics,22000,4000,14
2/2/2025,East,Tablet,Electronics,14000,2300,18
2/5/2025,West,Smartphone,Electronics,27000,5000,25
2/9/2025,North,Monitor,Electronics,16000,2900,13
2/11/2025,South,Keyboard,Accessories,4200,700,26
2/15/2025,East,Mouse,Accessories,2700,450,32
2/18/2025,West,Charger,Accessories,2100,350,43
2/20/2025,North,Smartwatch,Electronics,12000,1800,23
2/25/2025,South,Headphones,Accessories,5200,850,38
3/2/2025,East,Laptop,Electronics,25000,4600,15
3/5/2025,West,Tablet,Electronics,13000,2100,17
3/9/2025,North,Smartphone,Electronics,32000,5600,30
3/12/2025,South,Monitor,Electronics,18000,3100,14
3/15/2025,East,Keyboard,Accessories,4300,750,24
3/18/2025,West,Mouse,Accessories,2800,500,28
3/22/2025,North,Smartwatch,Electronics,14000,2200,21
3/25/2025,South,Laptop,Electronics,26000,4900,13
4/1/2025,East,Tablet,Electronics,14500,2500,20
4/3/2025,West,Smartphone,Electronics,31000,5400,33
4/6/2025,North,Monitor,Electronics,19000,3300,16
4/10/2025,South,Keyboard,Accessories,4400,750,29
4/13/2025,East,Mouse,Accessories,2900,480,30
4/17/2025,West,Charger,Accessories,2300,380,44
4/20/2025,North,Smartwatch,Electronics,15000,2400,22
4/24/2025,South,Headphones,Accessories,5300,900,37
5/2/2025,East,Laptop,Electronics,27000,5000,16
5/5/2025,West,Tablet,Electronics,15000,2600,18
5/8/2025,North,Smartphone,Electronics,34000,5800,31
5/12/2025,South,Monitor,Electronics,20000,3400,15
5/16/2025,East,Keyboard,Accessories,4500,770,25
5/20/2025,West,Mouse,Accessories,3000,520,27
5/25/2025,North,Smartwatch,Electronics,16000,2600,23
5/28/2025,South,Laptop,Electronics,28000,5300,14
6/3/2025,East,Tablet,Electronics,16000,2700,19
6/6/2025,West,Smartphone,Electronics,33000,5600,34
6/9/2025,North,Monitor,Electronics,21000,3500,17
6/13/2025,South,Keyboard,Accessories,4600,800,28
6/16/2025,East,Mouse,Accessories,3100,530,29
6/19/2025,West,Charger,Accessories,2400,400,42
6/23/2025,North,Smartwatch,Electronics,17000,2700,24
6/26/2025,South,Headphones,Accessories,5400,950,39
7/1/2025,East,Laptop,Electronics,29000,5500,17
7/4/2025,West,Tablet,Electronics,17000,2900,20
7/8/2025,North,Smartphone,Electronics,35000,6000,32
7/12/2025,South,Monitor,Electronics,21000,3600,16
7/16/2025,East,Keyboard,Accessories,4700,820,26
7/20/2025,West,Mouse,Accessories,3200,540,28
7/24/2025,North,Smartwatch,Electronics,18000,2800,25
7/28/2025,South,Laptop,Electronics,30000,5800,15
8/2/2025,East,Tablet,Electronics,18000,3100,21
8/5/2025,West,Smartphone,Electronics,34000,5900,35
8/9/2025,North,Monitor,Electronics,22000,3700,18
8/13/2025,South,Keyboard,Accessories,4800,830,30
8/17/2025,East,Mouse,Accessories,3300,560,27
8/21/2025,West,Charger,Accessories,2500,420,41
8/25/2025,North,Smartwatch,Electronics,19000,3000,26
8/29/2025,South,Headphones,Accessories,5500,970,40
9/3/2025,East,Laptop,Electronics,32000,6000,18
9/6/2025,West,Tablet,Electronics,19000,3300,22
9/10/2025,North,Smartphone,Electronics,37000,6200,33
9/13/2025,South,Monitor,Electronics,23000,3800,17
9/17/2025,East,Keyboard,Accessories,4900,850,27
9/21/2025,West,Mouse,Accessories,3400,580,29
9/25/2025,North,Smartwatch,Electronics,20000,3100,27
9/29/2025,South,Laptop,Electronics,33000,6100,16
10/2/2025,East,Tablet,Electronics,20000,3400,23
10/5/2025,West,Smartphone,Electronics,36000,6100,36
10/9/2025,North,Monitor,Electronics,24000,4000,19
10/13/2025,South,Keyboard,Accessories,5000,870,31
10/17/2025,East,Mouse,Accessories,3500,600,28
10/21/2025,West,Charger,Accessories,2600,440,43
10/25/2025,North,Smartwatch,Electronics,21000,3200,28
10/29/2025,South,Headphones,Accessories,5600,1000,42
