R&D Spend,Administration,Marketing Spend
0.5676698163643973,0.5788355604289264,0.5295630776874423
0.8594377233152625,0.3053280382623889,0.776135567095203
0.26652653898537154,0.0,0.41762624047737096
0.7290178603827536,0.7417327573593728,0.6604997709757493
0.8731364288427159,0.5129983902549908,0.8122351304336031
0.8141282812375263,0.7301611069589005,0.27071031007615565
0.16869098852610112,0.25446874380054824,0.34861435559189047
0.007955647804767122,0.4912597529795813,0.6297678535584392
0.0,0.6405468169663746,0.0
0.692616656143483,0.5430297340746311,0.5548644602478126
0.7459055139063268,0.4369288415971631,0.6464431929774658
0.4718082095347301,0.5352703611885348,0.5603115068947851
0.4659472800594136,0.36538760476550297,0.2979642806953435
0.28077589731308045,0.8100549609241365,0.44680961058246776
0.3697410087257755,0.7720532249634258,0.1869885610812234
1.0,0.6517439310268491,1.0
0.13412668461655697,0.788071657023371,0.06005865818708177
0.4360928265755141,0.5829780693747877,0.7486132110005403
0.33561668275383244,0.3941336494866646,0.45494286475529805
0.7975659997145434,0.36944789841721865,0.7691258777055013
0.3967692616595665,0.7745664247050259,0.22709196855086894
0.6088445544338891,0.3083642186250832,0.5293619475518568
0.17335287984459555,0.5768245591090664,0.42631114528870306
0.9833594598582879,0.7619717267693455,0.9408933662664767
0.4740843620652534,0.7802101240217711,0.6353272397268157
0.927984592607645,0.3795789541636034,0.864663603542383
0.09377565781993502,0.5793069281153622,0.07531871040164347
0.2782838985613477,0.25703165334499783,0.4356179871258909
0.4084236875654675,0.4146382960971639,0.6459919484357357
0.17390062969763387,0.5120407343287374,0.366260054122214
0.6163506082883982,0.4515063745019315,0.48573266882033544
0.447504795910715,0.5442927284683095,0.6429196320944263
0.5548811847895242,0.4787720110515626,0.6251155348389232
0.0,0.5001480636547349,0.09574943284438793
0.46116860559349543,0.4764236225246156,0.6330532758522384
0.7880179039269618,0.7174572453826598,0.6864934193416015
0.14297577490547278,0.34185187818555723,0.31370516725765024
0.7253935307821265,0.8013271984483843,0.5437082767308182
0.39946682536111455,1.0,0.2504285328818839
0.1223446499892349,0.11163611328110429,0.39269042767655804
